Adresas;floor;total_floor_num;rent_price;room_num;year_full;area;year;district;Predicted_price
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-z-sierakausko-g-nuomojamas-3-kambariu-butas-netoli-vingio-4-936633/;3.0;4.0;630;3.0;2007;98.0;2007;naujamiestyje;781,6902322
https://www.aruodas.lt/butu-nuoma-vilniuje-baltupiuose-jono-kazlausko-g-nuomojamas-tvarkingas-jaukus-ekonomiskas-2-4-951371/;2.0;3.0;430;2.0;1992;80.0;1992;baltupiuose;579,8786018
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-odminiu-g--jokiu-tarpininkavimo-mokesciu-naujai-4-933343/;4.0;4.0;799;2.0;2018;67.0;2018;senamiestyje;947,6119898
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-palangos-g-geroje-vietoje-paciame-centre-palangos-g-4-947741/;4.0;4.0;360;2.0;1940;40.0;1940;senamiestyje;508,0227625
https://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-uzupio-g-isnuomojamas-2-kamb-71-m-butas-uzupyje-4-934997/;3.0;3.0;500;2.0;1940;71.0;1940;uzupyje;647,5587656
https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-latgaliu-g-isnuomojami-kambariai-studentamsporoms-4-874497/;2.0;2.0;160;4.0;1990;80.0;1990;zveryne;305,4909424
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-j-basanaviciaus-g-isnuomojamas-2-kambariu-butas-senamiestyje-4-927611/;1.0;4.0;770;2.0;2016;49.0;2016;senamiestyje;915,2971429
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kalvariju-g-nuomojamas-dvieju-kambariu-butas-adresu-4-820483/;4.0;7.0;430;2.0;2009;66.0;2009;snipiskese;574,5635431
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdynuose-erfurto-g-butas-zaliame-ir-jaukiame-rajone-lazdynuose-4-936603/;4.0;9.0;500;3.0;2006;82.0;2006;lazdynuose;644,4299765
https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-paribio-g--jokiu-tarpininkavimo-mokesciu-4-933923/;4.0;4.0;600;2.0;2006;62.0;2006;zveryne;740,4049029
https://www.aruodas.lt/butu-nuoma-vilniuje-visoriuose-santariskiu-g-stilingo-buto-nuoma-visoriuose-2-kambariu-su-4-935023/;4.0;4.0;380;2.0;2010;60.0;2010;visoriuose;519,8161559
https://www.aruodas.lt/butu-nuoma-vilniuje-santariskese-zaliuju-ezeru-g-nuomuojamas-dvieju-aukstu-150-kvm-kotedzas-4-935315/;1.0;2.0;850;4.0;2008;149.45;2008;santariskese;989,6250794
https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-m-jankaus-g-naujos-statybos-name-2006m-isnuomojamas-3-4-933711/;5.0;7.0;500;3.0;2016;75.0;2016;pilaiteje;637,2994818
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-raugyklos-g--jokiu-tarpininkavimo-mokesciu-4-936199/;4.0;4.0;599;4.0;1910;76.0;1910;senamiestyje;735,5020313
https://www.aruodas.lt/butu-nuoma-vilniuje-rasose-naujininku-g-isnuomojamas-suremontuotasnaujininkuose-4-947965/;1.0;2.0;230;1.0;1957;28.0;1957;naujininkuose;365,1299247
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-m-dauksos-g-isnuomojamas-2-kambariu-butas-su-balkonu-4-932885/;3.0;3.0;500;2.0;1905;48.19;1905;senamiestyje;634,3723611
https://www.aruodas.lt/butu-nuoma-vilniuje-virsuliskese-juozo-rutkausko-g-nuomojamas-naujai-irengtas-3-iu-kambariu-4-936587/;6.0;6.0;690;3.0;2018;70.0;2018;virsuliskese;824,3354985
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gedimino-pr-nuomojamas-sviesus-2-ju-atskiru-kambariu-4-930825/;4.0;5.0;500;2.0;1965;62.0;1965;senamiestyje;627,9894444
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gedimino-pr-butas-jau-laisvas-ir-galima-apziureti-4-925895/;4.0;5.0;500;2.0;1964;61.55;1964;senamiestyje;627,2442063
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vokieciu-g-nuomojamas-2-ju-kambariu-butas-senamiestyje-4-932239/;2.0;3.0;700;2.0;1976;100.0;1976;senamiestyje;826,1985987
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-algirdo-g-isnuomojamas-jaukus-2-kambariu-65-kv-m-4-934269/;3.0;3.0;490;2.0;1940;56.0;1940;senamiestyje;614,3517177
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-smolensko-g-nuomojamas-labai-funkcionalus-sviesus-4-886703/;2.0;3.0;380;1.0;2012;33.0;2012;naujamiestyje;502,6666667
https://www.aruodas.lt/butu-nuoma-vilniuje-salininku-k-isnuomoju-dideli-ir-jauku-kambari-studentui-4-951769/;1.0;1.0;230;1.0;2019;60.0;2019;0;352,5752586
https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-priegliaus-g-jaukus-2-kambariu-butas-naujausios-statybos-4-952275/;7.0;9.0;380;2.0;2016;55.0;2016;pilaiteje;502,0700618
https://www.aruodas.lt/butu-nuoma-vilniuje-vilkpedeje-gerosios-vilties-g-isnuomojamas-tvarkingas-1-kambario-butas-su-4-930797/;4.0;5.0;220;1.0;1964;31.0;1964;vilkpedeje;341,2749093
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdyneliuose-lazdynu-g-isnuomojamas-butas-po-kapitalinio-remonto-4-951941/;3.0;3.0;520;3.0;1984;87.0;1984;lazdyneliuose;641,0127309
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdynuose-architektu-g-isnuomojamas-graziai-irengtas-lazdynuose-2k-4-925079/;1.0;9.0;330;2.0;1972;70.0;1972;lazdynuose;450,8289833
https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-rudausiu-sodu-5-oji-g-antakalnyje-rudausiu-sodu-5-ojoje-g-4-926417/;1.0;2.0;280;1.0;2015;35.0;2015;antakalnyje;400,4684495
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-utenos-g-nuomojamas-erdvus-butas-su-balkonu-miesto-4-931951/;2.0;2.0;450;2.0;2005;75.0;2005;snipiskese;568,7726452
https://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-laisves-pr-nuomuojamas-1-kambarys-3-ju-kambariu-bute-4-922617/;2.0;5.0;200;1.0;2006;20.0;2006;seskineje;317,697216
https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-giruliu-g-nuomojamas-naujas-stilingai-irengtas-2-4-420617/;5.0;9.0;420;2.0;2012;58.0;2012;fabijoniskese;537,5166442
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-rinktines-g-bukite-pirmi-nuomininkai-pozeminis-platus-4-932593/;8.0;8.0;750;2.0;2019;49.0;2019;senamiestyje;866,785
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-jaksto-g-isnuomojamas-erdvus-ir-sviesus-3-kambariu-4-944879/;2.0;3.0;750;3.0;1940;100.0;1940;senamiestyje;866,7201075
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-naugarduko-g-tvarkingu-butu-nuoma-naujamiestyje-3-kambariu-4-936523/;1.0;9.0;360;3.0;1981;70.0;1981;naujamiestyje;476,2724763
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-antezeriu-g-netoli-pasilaiciu-ramioje-antezeriu-vietoje-4-933863/;1.0;2.0;550;3.0;2002;120.0;2002;pasilaiciuose;666,1721746
https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-v-grybo-g-kvieciame-i-atvirus-namus-lapkricio-21d-4-948193/;1.0;3.0;800;3.0;2017;76.0;2017;antakalnyje;916,0065381
https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-stanislovo-rapolionio-g-nuomojamas-atskiras-namo-aukstas-vienam-4-921689/;3.0;3.0;400;2.0;2000 statyba, 2017 renovacija;90.0;2000;pilaiteje;515,5945009
https://www.aruodas.lt/butu-nuoma-vilniuje-baltupiuose-jono-kazlausko-g-nuomojamas-tvarkingas-jaukus-ekonomiskas-2-4-948665/;2.0;3.0;449;2.0;1992;80.0;1992;baltupiuose;563,9792581
https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-vytauto-zalakeviciaus-g-isnuomojamas-jaukus-pilnai-irengtas-4-936623/;2.0;7.0;450;2.0;2015;53.0;2015;antakalnyje;563,7307989
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vingriu-g-nuomojami-dizainerio-irengtas-prabangus-2-4-951193/;1.0;3.0;770;2.0;2016;52.0;2016;senamiestyje;882,5471429
https://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-kriviu-g-nuomojamas-2-k-butas-uzupyje-kriviu-5-4-924319/;4.0;5.0;590;2.0;2011;67.0;2011;uzupyje;702,3292278
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-perkunkiemio-g-kokybiskame-name-perkunkiemio-g-nuomojamas-4-950517/;7.0;9.0;460;3.0;2007;77.0;2007;pasilaiciuose;570,0914664
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-saviciaus-g-isnuomojamas-3-kambariu-butas-senamiestyje-4-948799/;2.0;2.0;650;3.0;1940 statyba, 1999 renovacija;84.0;1940;senamiestyje;759,9576502
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-raitininku-g-isnuomojamas-2-3-kambariu-78-kvm-butas-4-949681/;6.0;7.0;600;3.0;2003;78.0;2003;senamiestyje;708,9294519
https://www.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-burbiskiu-g-nuomojamas-erdvus-2-ju-kambariu-butas-4-891201/;2.0;3.0;660;2.0;2018;78.0;2018;naujininkuose;768,6727328
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-slucko-g-isnuomojamas-butas-studija-slucko-g-4-929659/;1.0;3.0;430;2.0;1940;42.0;1940;senamiestyje;537,6406275
https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-nidos-g-patogioje-vietoje-naujojoje-pilaiteje-nidos-4-950567/;9.0;9.0;700;5.0;2011;123.06;2011;pilaiteje;807,1077381
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-nuomojamas-erdvus-kokybiskai-irengtas-ir-4-952511/;3.0;5.0;500;2.0;2008;55.0;2008;naujamiestyje;604,5167902
https://www.aruodas.lt/butu-nuoma-vilniuje-naujojoje-vilnioje-a-kojelaviciaus-g-ramioje-vietoje-nuomojamas-jaukus-siltas-4-952195/;1.0;2.0;230;2.0;1984;40.0;1984;naujojoje-vilnioje;333,9163807
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-algirdo-g-isnuomojamas-kambarys-miesto-centre-150-m2-4-948173/;2.0;2.0;230;5.0;1928;25.0;1928;naujamiestyje;333,5408163
https://www.aruodas.lt/butu-nuoma-vilniuje-bajoruose-bajoru-kel-nuomojamas-2k-butas-parkingas-naujos-4-934049/;4.0;4.0;400;2.0;2010;57.0;2010;bajoruose;503,496635
https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-zirgo-g--jokiu-tarpininkavimo-mokesciu-butas-4-934971/;7.0;20.0;419;2.0;2004;73.0;2004;antakalnyje;521,6170574
https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-salomejos-neries-g-isnuomojamas-irengtas-2-perdarytas-i-3-4-935609/;4.0;12.0;350;3.0;2007;56.0;2007;fabijoniskese;452,4362222
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-dociskiu-g-be-tarpininkavimo-mokescio-nuomos-kaina-su-4-935165/;3.0;7.0;470;2.0;2010;70.0;2010;pasilaiciuose;572,3944463
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-raugyklos-g-sviesus-ir-jaukus-stilingai-irengtas-naujas-4-934135/;4.0;4.0;600;3.0;1905;70.0;1905;senamiestyje;702,1222917
https://www.aruodas.lt/butu-nuoma-vilniuje-lazdynuose-architektu-g-isnuomojamas-tvarkingas-lazdynuose-1k-butas-4-948841/;1.0;5.0;200;1.0;1973;33.0;1973;lazdynuose;301,1571606
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-seimyniskiu-g-nuomojamas-2-kam-butas-vilniuje-snipiskes-4-944555/;5.0;5.0;440;2.0;2008;59.0;2008;snipiskese;540,9202898
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-subaciaus-g-senamiestyje-salia-vilniaus-gynybines-sienos-4-948721/;1.0;2.0;670;3.0;2003;71.0;2003;senamiestyje;770,5410465
