Adresas;floor;total_floor_num;rent_price;room_num;year_full;house_type;area;heating;year;year_renovation;floors_from_top;top_floor;oldtown;district;Internetas;Nauja elektros instaliacija;Kabelinė televizija;Uždaras kiemas;Virtuvė sujungta;Tualetas ir vonia atskirai;Aukštos lubos;Nauja kanalizacija;Šarvuotos durys;Kodinė laiptinės spyna;Signalizacija;Videokameros;Budintis sargas;district_0;district_1;district_2;district_3;district_4;district_5;district_6;district_7;district_8;district_9;district_10;district_11;district_12;district_13;district_14;district_15;district_16;district_17;district_18;district_19;district_20;district_21;district_22;district_23;district_24;district_25;district_26;district_27;district_28;district_29;district_30;district_31;district_32;district_33;district_34;district_35;district_36;district_37;heating_0;heating_1;heating_2;heating_3;heating_4;heating_5;heating_6;heating_7;heating_8;heating_9;heating_10;heating_11;heating_12;heating_13;heating_14;heating_15;heating_16;heating_17;heating_18;heating_19;heating_20;heating_21;heating_22;heating_23;heating_24;heating_25;heating_26;heating_27;heating_28;heating_29;heating_30;heating_31;heating_32;heating_33;heating_34;heating_35;heating_36;heating_37;heating_38;heating_39;heating_40;heating_41;heating_42;heating_43;heating_44;heating_45;House_type_0;House_type_1;House_type_2;House_type_3;House_type_4;House_type_5;House_type_6;;;Diff
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-tauro-g-isnuomojamas-siuolaikiskai-naujai-irengtas-3-4-951753/;5.0;5.0;800;3.0;1959;Mūrinis;86.0;Centrinis;1959;;0.0;1;1.0;senamiestyje;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1032,23417;;232,2341705
https://www.aruodas.lt/butu-nuoma-vilniuje-jeruzaleje-braskiu-g-nuomojami-kambariai-nuosavame-name-nuomojami-4-928171/;2.0;2.0;190;3.0;1991;Mūrinis;100.0;Centrinis;1991;;0.0;1;0.0;jeruzaleje;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;417,0053139;;227,0053139
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zygio-g-nuomojamas-kambarys-4-k-bute-is-kuriu-4-838087/;2.0;5.0;200;4.0;1970;Blokinis;61.0;Centrinis;1970;;3.0;0;0.0;zirmunuose;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;406,0144068;;206,0144068
https://www.aruodas.lt/butu-nuoma-vilniuje-pavilnyje-vandens-g-isnuomojamas-jaukus-bendros-erdves-butas-per-4-936507/;1.0;2.0;350;2.0;2018;Mūrinis;48.0;Elektra;2018;;1.0;0;0.0;pavilnyje;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;550,963512;;200,963512
https://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-sausio-13-osios-g-4-950341/;4.0;9.0;400;2.0;1979;Blokinis;497.0;Centrinis;1979;;5.0;0;0.0;karoliniskese;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;599,864881;;199,864881
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-j-basanaviciaus-g-nuomojamas-puikus-2-kambariu-butas-naujos-4-949253/;2.0;5.0;800;2.0;2016;Mūrinis;52.02;Centrinis kolektorinis;2016;;3.0;0;1.0;senamiestyje;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;997,5652381;;197,5652381
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-j-basanaviciaus-g-isnuomojamas-prabangus-3-k-77-m-naujai-ir-4-949015/;3.0;4.0;1000;3.0;2016;Mūrinis;77.0;Centrinis kolektorinis;2016;;1.0;0;1.0;senamiestyje;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1186,954932;;186,954932
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-j-basanaviciaus-g-j-basanaviciaus-gatveje-su-langais-i-vidini-4-931873/;3.0;4.0;740;3.0;1940;Mūrinis;83.14;Dujinis;1940;;1.0;0;0.0;naujamiestyje;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;923,470329;;183,470329
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kareiviu-g-nuomojamas-erdvus-sviesus-loftas-kareiviu-g-4-936299/;3.0;4.0;650;3.0;2011 statyba, 2011 renovacija;Mūrinis;85.0;Dujinis;2011;2011.0;1.0;0;0.0;snipiskese;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;827,0833036;;177,0833036
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-gyneju-g-jaukus-ir-erdvus-triju-kambariu-butas-4-951671/;5.0;9.0;800;3.0;2007;Mūrinis;94.0;Centrinis kolektorinis;2007;;4.0;0;0.0;naujamiestyje;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;976,142915;;176,142915
